EmployeeNumber,Age,AgeBand,Attrition,AttritionFlag,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,MonthlyPayrollCost,MonthlyRate,HourlyRate,DailyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,EnvironmentSatisfaction,JobSatisfaction,JobInvolvement,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,HireDate,LastReviewDate,ManagerID,WorkLocation,RemoteWork,ExitReason
1,44,36-45,No,0,Travel_Rarely,Research & Development,1,4,Medical,1,Female,5,Laboratory Technician,Married,6906,8302,5169,75,804,0,No,12,3,3,1,2,4,80,0,24,3,3,7,6,2,0,2017-12-12,2024-05-10,1069,Stockholm,Full Remote,Not applicable
2,20,18-25,No,0,Non-Travel,Research & Development,10,3,Marketing,1,Male,1,Research Scientist,Divorced,3635,4889,9196,71,214,1,No,21,3,2,3,1,2,80,0,0,6,2,0,0,0,0,2024-12-16,2024-07-23,1052,Stockholm,No,Not applicable
3,42,36-45,No,0,Travel_Rarely,Human Resources,18,3,Other,1,Male,3,Human Resources,Married,5233,6923,17337,97,614,1,No,17,3,1,1,1,2,80,1,19,1,2,2,1,1,0,2022-12-28,2024-01-18,1093,Stockholm,Hybrid,Not applicable
4,35,26-35,No,0,Travel_Frequently,Research & Development,17,4,Medical,1,Male,3,Laboratory Technician,Single,6749,8461,3898,60,1261,0,No,23,3,2,1,3,4,80,0,16,6,1,3,3,1,3,2021-11-20,2024-04-27,1009,Gothenburg,Hybrid,Not applicable
5,25,18-25,Yes,1,Travel_Frequently,Sales,7,4,Medical,1,Female,1,Sales Executive,Married,6414,7616,12827,39,1152,2,No,25,3,3,1,2,2,80,0,5,2,1,5,0,5,2,2019-01-26,2024-04-27,1028,Oslo,Hybrid,Relocation
6,31,26-35,No,0,Travel_Frequently,Research & Development,28,3,Life Sciences,1,Male,2,Research Director,Divorced,18462,22218,23369,99,130,0,Yes,18,3,2,4,2,4,80,0,10,4,2,6,3,2,1,2018-09-04,2024-10-07,1053,Helsinki,Hybrid,Not applicable
7,20,18-25,No,0,Non-Travel,Research & Development,24,2,Other,1,Male,1,Healthcare Representative,Married,7697,9208,9707,81,345,0,Yes,20,3,1,1,4,2,80,3,0,2,1,0,0,0,0,2024-03-16,2024-08-27,1075,Gothenburg,No,Not applicable
8,30,26-35,No,0,Travel_Rarely,Sales,21,3,Other,1,Female,2,Sales Executive,Married,6377,8356,11912,97,116,1,Yes,24,3,2,3,2,3,80,2,10,1,1,1,1,0,0,2023-03-25,2024-07-31,1085,Stockholm,Full Remote,Not applicable
9,40,36-45,No,0,Travel_Rarely,Sales,9,3,Marketing,1,Female,3,Sales Executive,Divorced,9275,12956,19877,34,856,0,Yes,22,3,2,3,2,4,80,1,18,5,4,1,1,1,0,2023-10-19,2024-05-25,1017,Stockholm,No,Not applicable
10,42,36-45,No,0,Non-Travel,Research & Development,14,2,Marketing,1,Male,2,Research Director,Divorced,18894,23199,17083,74,725,3,Yes,24,4,1,2,3,4,80,0,14,1,2,0,0,0,0,2024-09-07,2024-09-08,1004,Malmo,No,Not applicable
11,39,36-45,No,0,Travel_Rarely,Research & Development,18,3,Other,1,Female,2,Research Scientist,Divorced,4019,5520,24506,55,845,1,Yes,22,3,4,3,3,4,80,0,13,2,1,13,3,13,1,2011-01-30,2024-07-15,1080,Copenhagen,Hybrid,Not applicable
12,41,36-45,No,0,Travel_Rarely,Sales,7,3,Life Sciences,1,Male,2,Sales Executive,Married,9302,12447,11299,95,1459,0,No,25,3,2,4,3,4,80,1,13,2,4,3,1,3,3,2021-07-15,2024-11-14,1031,Malmo,No,Not applicable
13,33,26-35,No,0,Travel_Rarely,Research & Development,29,2,Medical,1,Female,2,Healthcare Representative,Married,8264,10804,20314,70,1006,0,No,18,4,1,4,2,2,80,0,14,4,4,0,0,0,0,2024-04-18,2024-05-27,1071,Helsinki,Full Remote,Not applicable
14,44,36-45,No,0,Travel_Frequently,Research & Development,3,1,Life Sciences,1,Female,4,Manufacturing Director,Married,10525,13403,21139,32,1279,1,No,17,3,2,1,4,4,80,1,23,2,3,2,2,1,2,2022-12-30,2024-07-04,1039,Helsinki,Full Remote,Not applicable
15,23,18-25,No,0,Travel_Rarely,Human Resources,11,4,Other,1,Male,1,Human Resources,Married,3235,4111,26641,83,616,0,No,18,4,1,1,4,2,80,0,1,2,4,1,0,0,1,2023-05-07,2024-12-22,1070,Stockholm,Full Remote,Not applicable
16,50,46-55,No,0,Travel_Rarely,Research & Development,1,4,Medical,1,Female,4,Research Scientist,Married,8205,11089,4490,61,308,5,Yes,25,3,2,1,2,3,80,1,27,3,1,8,4,0,8,2016-08-02,2024-01-16,1077,Stockholm,Hybrid,Not applicable
17,34,26-35,No,0,Travel_Frequently,Research & Development,14,4,Medical,1,Female,3,Laboratory Technician,Divorced,5789,7476,21999,78,788,0,No,15,3,3,4,4,4,80,0,15,4,3,4,0,0,3,2020-07-20,2024-09-29,1063,Copenhagen,Hybrid,Not applicable
18,32,26-35,No,0,Travel_Rarely,Research & Development,24,4,Medical,1,Male,1,Research Scientist,Single,3326,4286,12047,62,572,1,No,22,3,2,4,2,3,80,1,5,2,3,5,0,0,5,2019-09-27,2024-07-23,1016,Gothenburg,Full Remote,Not applicable
19,34,26-35,No,0,Travel_Frequently,Research & Development,4,3,Life Sciences,1,Female,2,Laboratory Technician,Married,5211,7226,5738,38,920,1,No,13,4,3,2,4,1,80,1,15,2,1,7,2,3,4,2017-03-14,2024-02-13,1088,Stockholm,No,Not applicable
20,35,26-35,Yes,1,Travel_Rarely,Research & Development,13,2,Medical,1,Male,1,Healthcare Representative,Divorced,5692,7331,21458,90,696,1,No,17,4,2,2,3,1,80,0,5,1,2,3,2,3,2,2021-08-08,2024-01-05,1037,Helsinki,No,Retirement
21,35,26-35,No,0,Travel_Frequently,Sales,9,4,Medical,1,Female,2,Sales Representative,Single,3415,4104,24095,32,1476,2,No,22,3,4,3,4,3,80,1,13,4,4,13,0,0,0,2011-03-16,2024-12-11,1023,Helsinki,Hybrid,Not applicable
22,43,36-45,No,0,Travel_Rarely,Research & Development,14,3,Life Sciences,1,Male,4,Research Scientist,Divorced,7161,9944,17138,82,211,7,No,19,3,1,4,1,3,80,0,23,2,3,23,5,2,10,2001-07-06,2024-02-17,1064,Malmo,Hybrid,Not applicable
23,36,36-45,No,0,Travel_Rarely,Sales,21,3,Life Sciences,1,Female,3,Sales Executive,Single,7901,11071,18654,47,242,1,No,18,3,1,2,4,3,80,0,16,2,3,0,0,0,0,2024-06-03,2024-07-10,1065,Stockholm,No,Not applicable
